id,general_team,general_city,general_team_name,full_name,is_active,draft_team,draft_city,draft_team_name,organization_type,seniority,position,from_year,to_year,g-league,greatest_75_flag,height_definitivo,weight,hub,num_equipos
1627749,1610612737,Atlanta,Hawks,Dejounte Murray,Active,1610612759.0,San Antonio,Spurs,College/University,6.0,Guard,2016.0,2023.0,Yes,No,195.58,81.6,USA,2
1626220,1610612751,Brooklyn,Nets,Royce O'Neale,Active,0.0,Undrafted,Undrafted,Unknown,6.0,Forward,2017.0,2023.0,Yes,No,198.12,102.5,USA,2
203115,1610612764,Washington,Wizards,Will Barton,Active,1610612757.0,Portland,Trail Blazers,College/University,11.0,Guard,2012.0,2023.0,Yes,No,195.58,82.1,USA,4
1629001,1610612755,Philadelphia,76ers,De'Anthony Melton,Active,1610612745.0,Houston,Rockets,College/University,5.0,Guard,2018.0,2023.0,Yes,No,187.96,90.7,USA,3
1630637,1610612741,Chicago,Bulls,Carlik Jones,Active,0.0,Undrafted,Undrafted,Unknown,2.0,Guard,2021.0,2023.0,Yes,No,182.88,78.9,USA,2
203482,1610612762,Utah,Jazz,Kelly Olynyk,Active,1610612742.0,Dallas,Mavericks,College/University,10.0,Forward-Center,2013.0,2023.0,No,No,210.82,108.9,North America,5
203210,1610612744,Golden State,Warriors,JaMychal Green,Active,0.0,Undrafted,Undrafted,Unknown,9.0,Forward-Center,2014.0,2023.0,Yes,No,205.74,103.0,USA,4
1629006,1610612756,Phoenix,Suns,Josh Okogie,Active,1610612750.0,Minnesota,Timberwolves,College/University,5.0,Guard,2018.0,2023.0,No,No,193.04,96.6,Africa,2
1629111,1610612756,Phoenix,Suns,Jock Landale,Active,0.0,Undrafted,Undrafted,Unknown,2.0,Center,2021.0,2023.0,Yes,No,210.82,115.7,Oceania,2
1630174,1610612754,Indiana,Pacers,Aaron Nesmith,Active,1610612738.0,Boston,Celtics,College/University,3.0,Guard-Forward,2020.0,2023.0,Yes,No,195.58,97.5,USA,2
201577,1610612739,Cleveland,Cavaliers,Robin Lopez,Active,1610612756.0,Phoenix,Suns,College/University,15.0,Center,2008.0,2023.0,No,No,213.36,127.5,USA,7
1628971,1610612743,Denver,Nuggets,Bruce Brown,Active,1610612765.0,Detroit,Pistons,College/University,5.0,Guard-Forward,2018.0,2023.0,Yes,No,193.04,91.6,USA,3
1631223,1610612763,Memphis,Grizzlies,David Roddy,Active,1610612755.0,Philadelphia,76ers,College/University,1.0,Forward,2022.0,2023.0,Yes,No,193.04,115.7,USA,1
201933,1610612738,Boston,Celtics,Blake Griffin,Active,1610612746.0,Los Angeles,Clippers,College/University,13.0,Forward,2009.0,2023.0,No,No,205.74,113.4,USA,4
1628973,1610612752,New York,Knicks,Jalen Brunson,Active,1610612742.0,Dallas,Mavericks,College/University,5.0,Guard,2018.0,2023.0,No,No,187.96,86.2,USA,2
1629663,1610612755,Philadelphia,76ers,Louis King,Inactive,0.0,Undrafted,Undrafted,Unknown,4.0,Forward,2019.0,2023.0,Yes,No,200.66,93.0,USA,3
200782,1610612755,Philadelphia,76ers,P.J. Tucker,Active,1610612761.0,Toronto,Raptors,College/University,12.0,Forward,2006.0,2023.0,Yes,No,195.58,111.1,USA,6
1630177,1610612766,Charlotte,Hornets,Theo Maledon,Inactive,1610612755.0,Philadelphia,76ers,Other Team/Club,3.0,Guard,2020.0,2023.0,Yes,No,195.58,79.4,Western Europe,3
1627854,1610612750,Minnesota,Timberwolves,Bryn Forbes,Active,0.0,Undrafted,Undrafted,Unknown,7.0,Guard,2016.0,2022.0,Yes,No,187.96,93.0,USA,4
